0,0.1,1.999
0.001,0.1,1.999
0.002,0.1,1.999
0.003,0.1,1.999
0.004,0.1,1.999
0.005,0.1,1.999
0.006,0.1,1.999
0.007,0.1,1.999
0.008,0.1,1.999
0.009,0.1,1.999
0.01,0.1,1.999
0.011,0.1,1.999
0.012,0.1,1.999
0.013,0.1,1.999
0.014,0.1,1.999
0.015,0.1,1.999
0.016,0.1,1.999
0.017,0.1,1.999
0.018,0.1,1.999
0.019,0.1,1.999
0.02,0.1,1.999
0.021,0.1,1.999
0.022,0.1,1.999
0.023,0.1,1.999
0.024,0.1,1.999
0.025,0.1,1.999
0.026,0.1,1.999
0.027,0.1,1.999
0.028,0.1,1.999
0.029,0.1,1.999
0.03,0.1,1.999
0.031,0.1,1.999
0.032,0.1,1.999
0.033,0.1,1.999
0.034,0.1,1.999
0.035,0.1,1.999
0.036,0.1,1.999
0.037,0.1,1.999
0.038,0.1,1.999
0.039,0.1,1.999
0.04,0.1,1.999
0.041,0.1,1.999
0.042,0.1,1.999
0.043,0.1,1.999
0.044,0.1,1.999
0.045,0.1,1.999
0.046,0.1,1.999
0.047,0.1,1.999
0.048,0.1,1.999
0.049,0.1,1.999
0.05,0.1,1.999
0.051,0.1,1.999
0.052,0.1,1.999
0.053,0.1,1.999
0.054,0.1,1.999
0.055,0.1,1.999
0.056,0.1,1.999
0.057,0.1,1.999
0.058,0.1,1.999
0.059,0.1,1.999
0.06,0.1,1.999
0.061,0.1,1.999
0.062,0.1,1.999
0.063,0.1,1.999
0.064,0.1,1.999
0.065,0.1,1.999
0.066,0.1,1.999
0.067,0.1,1.999
0.068,0.1,1.999
0.069,0.1,1.999
0.07,0.1,1.999
0.071,0.1,1.999
0.072,0.1,1.999
0.073,0.1,1.999
0.074,0.1,1.999
0.075,0.1,1.999
0.076,0.1,1.999
0.077,0.1,1.999
0.078,0.1,1.999
0.079,0.1,1.999
0.08,0.1,1.999
0.081,0.1,1.999
0.082,0.1,1.999
0.083,0.1,1.999
0.084,0.1,1.999
0.085,0.1,1.999
0.086,0.1,1.999
0.087,0.1,1.999
0.088,0.1,1.999
0.089,0.1,1.999
0.09,0.1,1.999
0.091,0.1,1.999
0.092,0.1,1.999
0.093,0.1,1.999
0.094,0.1,1.999
